meter_id,account_number,facility_name,address,billing_period_start,billing_period_end,consumption_kwh,demand_kw,unit,tariff_code,supplier,invoice_number
MTR-001,ACC-8823,Berlin HQ,Unter den Linden 1,2024-01-05,2024-02-04,48320.50,125.4,kWh,C3-COMMERCIAL,Vattenfall,INV-20240204-001
MTR-001,ACC-8823,Berlin HQ,Unter den Linden 1,2024-02-05,2024-03-06,51200.00,131.2,kWh,C3-COMMERCIAL,Vattenfall,INV-20240306-002
MTR-001,ACC-8823,Berlin HQ,Unter den Linden 1,2024-03-07,2024-04-05,49800.00,128.7,kWh,C3-COMMERCIAL,Vattenfall,INV-20240405-003
MTR-001,ACC-8823,Berlin HQ,Unter den Linden 1,2024-04-06,2024-05-05,44100.00,119.3,kWh,C3-COMMERCIAL,Vattenfall,INV-20240505-004
MTR-001,ACC-8823,Berlin HQ,Unter den Linden 1,2024-05-06,2024-06-04,42800.00,115.0,kWh,C3-COMMERCIAL,Vattenfall,INV-20240604-005
MTR-002,ACC-8824,Hamburg Warehouse,Hafenstr. 12,2024-01-10,2024-02-09,82400.00,210.0,kWh,I1-INDUSTRIAL,Vattenfall,INV-20240209-006
MTR-002,ACC-8824,Hamburg Warehouse,Hafenstr. 12,2024-02-10,2024-03-11,79100.00,198.5,kWh,I1-INDUSTRIAL,Vattenfall,INV-20240311-007
MTR-002,ACC-8824,Hamburg Warehouse,Hafenstr. 12,2024-03-12,2024-04-10,85600.00,215.2,kWh,I1-INDUSTRIAL,Vattenfall,INV-20240410-008
MTR-002,ACC-8824,Hamburg Warehouse,Hafenstr. 12,2024-04-11,2024-05-10,81200.00,203.8,kWh,I1-INDUSTRIAL,Vattenfall,INV-20240510-009
MTR-002,ACC-8824,Hamburg Warehouse,Hafenstr. 12,2024-05-11,2024-06-09,0.00,0.0,kWh,I1-INDUSTRIAL,Vattenfall,INV-20240609-010
MTR-003,ACC-9001,Munich Office,Maximilianstr. 5,2024-01-01,2024-01-31,12800.00,45.0,kWh,SME-OFFICE,Stadtwerke München,INV-20240131-011
MTR-003,ACC-9001,Munich Office,Maximilianstr. 5,2024-02-01,2024-02-29,11900.00,,kWh,SME-OFFICE,Stadtwerke München,INV-20240229-012
MTR-003,ACC-9001,Munich Office,Maximilianstr. 5,2024-03-01,2024-03-31,13200.00,47.2,kWh,SME-OFFICE,Stadtwerke München,INV-20240331-013
MTR-003,ACC-9001,Munich Office,Maximilianstr. 5,2024-04-01,2024-04-30,11500.00,41.8,kWh,SME-OFFICE,Stadtwerke München,INV-20240430-014
MTR-001,ACC-8823,Berlin HQ,Unter den Linden 1,2024-02-05,2024-03-06,51200.00,131.2,kWh,C3-COMMERCIAL,Vattenfall,INV-20240306-002
