Buchungskreis	Werk	Belegdatum	Buchdatum	Material	Materialbez	BewArt	Menge	MengenEinh	Betrag	Währung	Kostenstelle
1000	1001	15.01.2024	15.01.2024	FUEL-DI	Dieselkraftstoff	101	5000.000	L	8500.00	EUR	4100
1000	1002	22.01.2024	22.01.2024	FUEL-NG	Erdgas	101	12000.000	m3	6800.00	EUR	4200
1000	1001	31.01.2024	31.01.2024	FUEL-DI	Dieselkraftstoff	101	3200.000	L	5440.00	EUR	4100
1000	1003	05.02.2024	05.02.2024	FUEL-PE	Benzin	101	800.000	L	1360.00	EUR	4300
1000	1001	14.02.2024	14.02.2024	FUEL-DI	Dieselkraftstoff	101		L	4200.00	EUR	4100
1000	1002	28.02.2024	28.02.2024	FUEL-NG	Erdgas	101	9800.000	m3	5550.00	EUR	4200
1000	1001	07.03.2024	07.03.2024	FUEL-DI	Dieselkraftstoff	101	4100.000	L	6970.00	EUR	4100
1000	1003	15.03.2024	15.03.2024	FUEL-PE	Benzin	101	600.000	L	1020.00	EUR	4300
1000	1002	20.03.2024	20.03.2024	FUEL-NG	Erdgas	101	11000.000	m3	6230.00	EUR	4200
1000	1001	32.03.2024	32.03.2024	FUEL-DI	Dieselkraftstoff	101	2500.000	L	4250.00	EUR	4100
1000	1001	01.04.2024	01.04.2024	FUEL-HFO	Schweröl	101	1500.000	kg	3200.00	EUR	4100
1000	1002	10.04.2024	10.04.2024	FUEL-NG	Erdgas	101	13500.000	m3	7650.00	EUR	4200
1000	1003	18.04.2024	18.04.2024	FUEL-XX	Unbekannt	101	400.000	L	850.00	EUR	4300
1000	1001	25.04.2024	25.04.2024	FUEL-DI	Dieselkraftstoff	101	6200.000	L	10540.00	EUR	4100
1000	1001	30.04.2024	30.04.2024	FUEL-DI	Dieselkraftstoff	101		L	5100.00	EUR	4100
1000	1002	05.05.2024	05.05.2024	FUEL-NG	Erdgas	101	10500.000	m3	5950.00	EUR	4200
1000	1001	12.05.2024	12.05.2024	FUEL-DI	Dieselkraftstoff	101	3800.000	L	6460.00	EUR	4100
1000	1003	20.05.2024	20.05.2024	FUEL-PE	Benzin	101	750.000	L	1275.00	EUR	4300
1000	1002	28.05.2024	28.05.2024	FUEL-NG	Erdgas	101	14200.000	m3	8050.00	EUR	4200
1000	1001	31.05.2024	31.05.2024	FUEL-DI	Dieselkraftstoff	101	4900.000	L	8330.00	EUR	4100
